nh(1),nh(2),nh(3),nh(4),nh(5),np
135750.0,0.068537,0.041543,0.052083,0.070588,10457000000.0
181200.0,0.089778,0.052296,0.064357,0.086325,10940000000.0
221800.0,0.10849,0.061845,0.075786,0.10157,11518000000.0
300330.0,0.14368,0.079102,0.096471,0.12932,12472000000.0
462420.0,0.21339,0.11066,0.13336,0.17819,13782000000.0
693660.0,0.31003,0.15054,0.17684,0.23301,14666000000.0
1384900.0,0.59161,0.25732,0.28646,0.36466,15806000000.0
4215800.0,1.7082,0.63842,0.65716,0.79078,17348000000.0
17438000.0,6.7547,2.0988,2.0121,2.2989,19507000000.0
41507000.0,15.91,4.3394,4.0155,4.481,20955000000.0
90420000.0,35.031,8.0639,7.2076,7.8911,22651000000.0
191920000.0,77.556,14.038,12.016,12.892,24761000000.0
395730000.0,173.67,22.333,17.985,18.816,27491000000.0
767820000.0,380.73,32.088,23.695,24.001,30720000000.0
1378100000.0,781.56,40.771,26.967,26.251,34498000000.0
2277000000.0,1450.5,45.906,26.811,25.012,38972000000.0
3722500000.0,2639.4,49.54,25.431,23.463,44299000000.0
5221400000.0,3905.9,50.812,26.042,24.141,48930000000.0
6662600000.0,5118.6,52.395,27.202,26.187,52534000000.0
8830400000.0,6953.2,55.943,29.634,37.451,56932000000.0
11553000000.0,9228.1,64.637,34.923,44.988,60910000000.0
14098000000.0,11403.0,73.911,40.362,51.452,63407000000.0
17114000000.0,14020.0,85.943,45.854,58.441,65364000000.0
20838000000.0,17311.0,101.61,52.368,65.132,66372000000.0
25891000000.0,21876.0,122.97,60.053,72.591,66303000000.0
31402000000.0,26917.0,146.94,68.666,78.598,65146000000.0
38232000000.0,33232.0,176.32,77.801,83.415,62533000000.0
45560000000.0,39880.0,207.19,86.65,88.989,59011000000.0
55102000000.0,48458.0,247.57,97.736,97.22,54017000000.0
57964000000.0,54260.0,282.63,108.4,111.03,54344000000.0
59182000000.0,61715.0,335.33,124.64,136.55,57485000000.0
65344000000.0,74390.0,442.26,154.92,170.01,62829000000.0
82151000000.0,89723.0,602.46,195.68,204.78,68334000000.0
110360000000.0,104290.0,792.08,239.6,237.57,72705000000.0
150010000000.0,116530.0,992.66,282.78,266.57,76065000000.0
192950000000.0,126410.0,1179.0,322.06,305.99,78977000000.0
262300000000.0,138860.0,1437.3,376.51,354.89,82849000000.0
389680000000.0,152180.0,1772.7,446.48,406.32,87015000000.0
621000000000.0,163520.0,2139.3,523.32,465.21,90571000000.0
953130000000.0,177020.0,2535.1,611.11,565.39,94755000000.0
1635800000000.0,201030.0,3170.4,759.45,725.22,101580000000.0
2934400000000.0,239680.0,4135.9,995.42,881.65,111720000000.0
5124000000000.0,272290.0,5049.8,1231.8,1032.5,119510000000.0
9653500000000.0,296880.0,5882.0,1465.9,1199.7,124640000000.0
18438000000000.0,322590.0,6734.9,1724.8,1210.2,129280000000.0
36505000000000.0,305680.0,6648.4,1755.3,1099.8,123200000000.0
61457000000000.0,267070.0,5936.4,1601.3,894.95,111410000000.0
97948000000000.0,211430.0,4761.9,1305.1,650.79,93966000000.0
147970000000000.0,151070.0,3427.5,949.33,401.08,73185000000.0
229130000000000.0,91943.0,2095.2,584.68,197.81,48909000000.0
365730000000000.0,44954.0,1026.8,287.85,113.1,24559000000.0
620950000000000.0,25504.0,583.19,164.05,96.129,10707000000.0
1005900000000000.0,21516.0,492.3,138.88,112.68,5984600000.0
1472100000000000.0,25057.0,573.5,162.23,140.78,4901400000.0
2052900000000000.0,31103.0,712.09,202.04,208.8,4467400000.0
2844300000000000.0,45788.0,1048.7,298.76,362.98,4874900000.0
4104500000000000.0,78697.0,1803.8,517.48,862.92,6021900000.0
6416100000000000.0,182790.0,4200.0,1223.1,2157.4,9513700000.0
9933400000000000.0,438260.0,10139.0,3033.6,5730.4,16045000000.0
1.5216e+16,1078600.0,25422.0,7960.0,16388.0,29160000000.0
2.3024e+16,2709100.0,66875.0,22366.0,50629.0,57743000000.0
3.4369e+16,6898100.0,186670.0,67490.0,96131.0,124810000000.0
4.171e+16,11619000.0,335760.0,126270.0,199700.0,198960000000.0
5.0148e+16,21014000.0,659100.0,257920.0,471390.0,348260000000.0
5.9713e+16,42209000.0,1462000.0,597020.0,1189200.0,690890000000.0
7.042e+16,88974000.0,3455800.0,1475000.0,3294000.0,1446000000000.0
8.2158e+16,202090000.0,8928800.0,3995600.0,10232000.0,3213200000000.0
9.4511e+16,501600000.0,25675000.0,12109000.0,25133000.0,7497100000000.0
1.0142e+17,1030400000.0,59280000.0,29162000.0,61092000.0,14201000000000.0
1.0836e+17,2088700000.0,135420000.0,69500000.0,117870000.0,25616000000000.0
1.126e+17,3519100000.0,249440000.0,132130000.0,236060000.0,38905000000000.0
1.1656e+17,6098800000.0,475550000.0,260520000.0,486460000.0,59653000000000.0
1.2019e+17,10794000000.0,930610000.0,528150000.0,1149500000.0,91990000000000.0
1.2266e+17,21229000000.0,2066200000.0,1223700000.0,2851100000.0,152460000000000.0
1.2435e+17,43284000000.0,4795400000.0,2971800000.0,6737600000.0,257660000000000.0
1.2556e+17,84898000000.0,10640000000.0,6884200000.0,14887000000.0,421260000000000.0
1.2674e+17,158010000000.0,22182000000.0,14934000000.0,31567000000.0,661040000000000.0
1.2739e+17,284570000000.0,44505000000.0,31118000000.0,63118000000.0,1012500000000000.0
1.2768e+17,489210000000.0,84550000000.0,61220000000.0,119950000000.0,1499900000000000.0
1.2786e+17,808100000000.0,153230000000.0,114610000000.0,203330000000.0,2159300000000000.0
1.2836e+17,1221500000000.0,249860000000.0,191900000000.0,322850000000.0,2913700000000000.0
1.2887e+17,1754500000000.0,383490000000.0,301460000000.0,322850000000.0,3789700000000000.0
